第一次,第二次
"近义词汉语:乌鳢,乌鱼,黑鱼","近义词汉语:乌鳢,乌鱼,黑鱼("
"近义词汉语:刺绣,绣花,扎花,绣,挑,挑花德语","近义词汉语:刺绣,绣花,扎花,绣,挑,挑花德语:Stichel,Stickerei,besticken,mock,sticheln,Sticken英语:embroider,embroidery,fancywork,needlework,stitchwork西班牙语:bordado,bordar葡萄牙语:bordado,bordadura,bordar2绣品近义词汉语:绣品,刺绣,平金("
"近义词汉语:保护,掩护,卫护,护卫,护,保安,保障,维护俄语","近义词汉语:保护,掩护,卫护,护卫,护,保安,保障,维护俄语:защищать,охранять,охрана葡萄牙语:salvaguarda,protetivo,proteção,proteger法语:protéger,défendre英语:protect,safeguard,ensure,patronize,preserve,shelter,shield,preservation,protection西班牙语:abrigar,abrigo,acoger,acogida,amparar,amparo,apadrinar,auspiciar,auspicio,baluarte,broquel,cobijar,defender,defensa,égida,escudo,manutención,patrocinar,patrocinio,preservación,preservar,propugnar,protección,proteger,resguardar,resguardo,sostener,tutela,tutoría,valer反义词汉语:侵害,蹧蹋,破坏,摧毁,伤害,损害,摧残,迫害,损坏,蹂躏,欺负,欺侮,践踏,损伤,杀害,残害,毁坏,糟害查看关于保护的反义词>>("
"近义词汉语:好心,善心,好意,善意,美意,爱心德语近义词汉语:仁慈,仁爱,慈善,慈祥,慈悲,慈,仁,脸软,手软,心慈面软,慈眉善目,大慈大悲,菩萨心肠,慈爱,慈和,仁义,爱心,心慈手软德语","近义词汉语:好心,善心,好意,善意,美意,爱心德语:Wohltätigkeit,fromm,gutgesinnt,wohlgesinnt反义词汉语:黑心,恶意,歹心,歹意,坏心2仁慈近义词汉语:仁慈,仁爱,慈善,慈祥,慈悲,慈,仁,脸软,手软,心慈面软,慈眉善目,大慈大悲,菩萨心肠,慈爱,慈和,仁义,爱心,心慈手软德语:wohltätig,Menschenliebe,Wohltätigkeit,freigebig,freigiebig,gütig,menschlich,mildtätig,wohlwollend葡萄牙语:misericórdia,misericordioso,bondoso,clemente,clemência,benevolente,benevolência英语:mercy,beneficence,benignancy,benignity,goodness,kindness,philanthropy法语:bienveillant,charitable西班牙语:benevolencia,caridad,clemencia,humanidad反义词汉语:凶狠,残酷,野蛮,残暴,凶暴,暴戾,冷酷,凶恶,毒辣,凶横,残忍,凶残查看关于爱心的反义词>>("
"近义词汉语:团体,组织,集体,伙,社,团,团队,团伙,集团,团组织俄语","近义词汉语:团体,组织,集体,伙,社,团,团队,团伙,集团,团组织俄语:коллектив,группа,организация英语:party,republic,fellowship,group,organization,sodality,team法语:organisation,groupement德语:Gemeinschaft,Gespann,gruppieren,Gruppe,Körperschaft,Konzern,Mannschaft,Runde,Verein西班牙语:común,congregación,cuerpo,organización反义词汉语:个人3集团公司近义词汉语:集团公司,集团查看关于集团的反义词>>("
"近义词汉语:烤,炕,燔,炙,烘制俄语","近义词汉语:烤,炕,燔,炙,烘制俄语:печь,жарить法语:rôtir,sécheraufeu,sechaufferprèsdudeu英语:bake,broil,carbonado,grill,parch,roast,spitchcock,toast,torrefy西班牙语:asar,calcinar,cocer,cocimiento,emparrillar,quemar,quemazón,torrar,torrefacción,tostar("
"近义词汉语:向日葵,葵花,朝阳花,向阳花,葵德语","近义词汉语:向日葵,葵花,朝阳花,向阳花,葵德语:Sonne,Sonnenblume英语:helianthus,sunflower西班牙语:girasol,helianto,tornasol("
"近义词汉语:友谊,情谊,交谊,交情,友情,情分,交,谊,义,雅俄语近义词汉语:非常,异常,特别,格外,分外,十分,十二分,万分,不胜,百般,百倍,充分,老大,好生,好不,那个,要命,不行,可怜,了不得,不得了,够劲儿,够呛,很,甚,颇,挺,好,老,生,深,良,殊,煞,大,雅,綦,稀,绷,酷,怪,蛮,杀,死,慌,坏,不可开交,死去活来,甚为,煞是,深深的俄语近义词汉语:雅致,雅观,文雅,清雅,淡雅,古雅,雅,大雅,幽雅,优雅,典雅无华法语近义词汉语:贵,尊,雅,玉,台,华,令,贤,大,高,宝,钧,惠,光,俯,垂,高高,醇雅,俊雅俄语","近义词汉语:友谊,情谊,交谊,交情,友情,情分,交,谊,义,雅俄语:дружба,дружеский英语:comity,companionship,fellowship,friendliness,friendship反义词汉语:仇隙,敌意3非常近义词汉语:非常,异常,特别,格外,分外,十分,十二分,万分,不胜,百般,百倍,充分,老大,好生,好不,那个,要命,不行,可怜,了不得,不得了,够劲儿,够呛,很,甚,颇,挺,好,老,生,深,良,殊,煞,大,雅,綦,稀,绷,酷,怪,蛮,杀,死,慌,坏,不可开交,死去活来,甚为,煞是,深深的俄语:чрезвычайный,необыкновенный英语:very,extraordinary,greatly,highly,intheextreme,rare,special,super,unusual法语:extraordinaire,exceptionnel西班牙语:altamente,demasiado,doblemente,grandemente,mucho,muy反义词汉语:普通,一般,平常4雅致近义词汉语:雅致,雅观,文雅,清雅,淡雅,古雅,雅,大雅,幽雅,优雅,典雅无华法语:élégance,raffinement,distinction德语:ästhetisch,elegant,vornehm反义词汉语:庸俗,俗气,粗俗5贵近义词汉语:贵,尊,雅,玉,台,华,令,贤,大,高,宝,钧,惠,光,俯,垂,高高,醇雅,俊雅俄语:дорогой,ценный德语:geehrt,wertvoll,teuer;英语:costly,expensive,noble,precious,valuable法语:cher,coûteux,précieux查看关于雅的反义词>>("
"近义词汉语:均匀,匀称,匀净,匀溜,匀整,匀实,匀和,停匀,平均,均衡,平衡,匀,均,年均,户均,人均,随遇平衡,动态平衡,均一,人平法语近义词汉语:都,净,全,统,均,备,皆,俱,咸,胥,佥,全都,通通,通统,统统,一总,清一色俄语","近义词汉语:均匀,匀称,匀净,匀溜,匀整,匀实,匀和,停匀,平均,均衡,平衡,匀,均,年均,户均,人均,随遇平衡,动态平衡,均一,人平法语:égal,régulier德语:Proportion,gerade,homogen3都近义词汉语:都,净,全,统,均,备,皆,俱,咸,胥,佥,全都,通通,通统,统统,一总,清一色俄语:все,всё法语:tout,même,déjà,capitale,grande德语:Hauptstadt,Hauptstadt,Metropole,alle("
"近义词汉语:混凝土,砼德语","近义词汉语:混凝土,砼德语:Beton,Mörtel("
"近义词汉语:三,叁,仨俄语","近义词汉语:三,叁,仨俄语:три,третий英语:three,several,many("
"近义词汉语:瓦垄,瓦楞","近义词汉语:瓦垄,瓦楞("
"近义词汉语:双,偶,对,夹,复,俪,骈,对偶,双料,双双,对仗俄语近义词汉语:对,迎,当,冲,给,劈,照,面,面对,直面,相向汉语:对,双,副俄语","近义词汉语:双,偶,对,夹,复,俪,骈,对偶,双料,双双,对仗俄语:пара,два,оба德语:Paar,zwei,beide,Doppel-,zweifach,doppelt,ZEWfürPaare(近义词汉语:对,迎,当,冲,给,劈,照,面,面对,直面,相向汉语:对,双,副俄语:пара,парный法语:répondre,traiter,s'opposerà,braquer,convenir,confronter,vérifer,ajuster,régler英语:right,answer,reply,at,check,compare,couple,mutual,opposite,versus,vs,facetoface德语:richtig,korrekt,ZEWfürPaare("
"近义词汉语:倾,倾斜,歪斜,打斜,斜,歪,侧俄语近义词汉语:侧面,侧,边俄语","近义词汉语:倾,倾斜,歪斜,打斜,斜,歪,侧俄语:наклонить,склониться,наклон,уклон法语:incliner,tendreà,s'effondrer,renverser,fairedesonmieux英语:bend,careen,collapse,doone'sbest,empty,incline,lean德语:abzielen,kippen,stürzen,kollabieren,zusammenfallen,lehnen,neigen,sichneigen,ausgießen3侧面近义词汉语:侧面,侧,边俄语:бок,сторона,боковой葡萄牙语:perfil,lateral,flanco英语:flank,profile,side,sideface法语:côté,flanc西班牙语:costado,flanco,pared,perfil反义词汉语:正面查看关于侧的反义词>>("
"近义词汉语:收获,果实,成果,硕果,结晶,名堂,一得之功,胜利果实,战果,胜果俄语近义词汉语:晶体,晶,结晶体,结晶,晶粒英语","近义词汉语:收获,果实,成果,硕果,结晶,名堂,一得之功,胜利果实,战果,胜果俄语:собратьурожай,урожай法语:récolter,recueillir英语:crop,gain,gatherin,get,getin,harvest,ingather,ingathering,reap德语:Akquirierung,Akquise,Erfassung,Errungenschaft,Erwerb,Erwerbung,Herbst,Nutzen,ernten西班牙语:agosto,cosecha,cosechar,recolección,recolectar反义词汉语:耕耘,付出,播种,种植3晶体近义词汉语:晶体,晶,结晶体,结晶,晶粒英语:crystal,crystalloid西班牙语:cristal,cristaloide查看关于结晶的反义词>>("
"近义词汉语:彩电,彩色电视","近义词汉语:彩电,彩色电视("
"近义词汉语:音信,音问,音讯,音息,消息,信息,信,音,音尘德语近义词汉语:声音,声响,音响,响声,声息,响动,动静,声,音,响,涛,籁,声浪,鸣响俄语近义词汉语:口气,口风,口吻,话音,语气,音,文章,言外之意,弦外之音英语","近义词汉语:音信,音问,音讯,音息,消息,信息,信,音,音尘德语:Bescheid,Meldung3声音近义词汉语:声音,声响,音响,响声,声息,响动,动静,声,音,响,涛,籁,声浪,鸣响俄语:звук,звучание葡萄牙语:vocal,voz,som,sônico德语:Ton,Geräusch英语:sound,vocality,voice法语:son,bruit西班牙语:ruido,son,sonido,voz4口气近义词汉语:口气,口风,口吻,话音,语气,音,文章,言外之意,弦外之音英语:implication,mannerofspeaking,tone("
"近义词汉语:男女,士女,儿女,红男绿女,男男女女,少男少女3子女近义词汉语:子女,儿女,孩子,男女,骨血,囡,亲骨肉,胎,孩英语","近义词汉语:男女,士女,儿女,红男绿女,男男女女,少男少女3子女近义词汉语:子女,儿女,孩子,男女,骨血,囡,亲骨肉,胎,孩英语:children,sonsanddaughters,thefruitofthewomb反义词汉语:父母查看关于儿女的反义词>>("
"近义词汉语:裤子,裤,下身,小衣法语","近义词汉语:裤子,裤,下身,小衣法语:pantalon,culotte英语:corduroy,pantaloon,pants,trousers,unmentionable葡萄牙语:calças,calça西班牙语:calzón,pantalón("
"近义词汉语:金黄,金色","近义词汉语:金黄,金色("
"近义词汉语:宽度,宽窄,幅度,幅面,开间,肥瘦,宽,幅,大幅度,调幅,幅宽,增幅,涨幅,升幅,步幅,播幅,增长率,步长,宽幅,净宽,单幅,小幅德语","近义词汉语:宽度,宽窄,幅度,幅面,开间,肥瘦,宽,幅,大幅度,调幅,幅宽,增幅,涨幅,升幅,步幅,播幅,增长率,步长,宽幅,净宽,单幅,小幅德语:Breite,Weite英语:breadth,width西班牙语:ancho,anchura,latitud("
"近义词汉语:和,同,与,跟,暨,及,以及俄语近义词汉语:柔和,平和,温和,顺和,中和,和婉,轻柔,温柔,优柔,温情,和缓,平缓,和平,软和,软,文,缓,婉,和,温文尔雅,和风细雨,中庸,低缓,温婉,温软德语近义词汉语:唱酬,酬和,唱和,步韵,和,一唱一和4和数近义词汉语:和数,和5次近义词汉语:次,度,回,道,番,趟,遍,巡,和,水,历届俄语","近义词汉语:和,同,与,跟,暨,及,以及俄语:мирный,дружественный,мир,согласие德语:einAntwortgedichtverfassen,einstimmen,Gesangerwidern,mischen,einblenden,etwasFeinkörnigesmiteinerFlüssigkeitverrühren,und,mit,Addition法语:doux,gentil,harmonieux,pétrir,mêler英语:and,draw,gentle,kind,mild,harmonious,mixwith,sum,summation,togetherwith西班牙语:amasamiento,amasar,con,e,y2柔和近义词汉语:柔和,平和,温和,顺和,中和,和婉,轻柔,温柔,优柔,温情,和缓,平缓,和平,软和,软,文,缓,婉,和,温文尔雅,和风细雨,中庸,低缓,温婉,温软德语:Nachgiebigkeit,Sanftheit,Zartheit,milde,mildernd,sanft英语:gentleness,mansuetude,meekness,softness,suavity,tenderness西班牙语:dulzor,suavidad法语:doux,tendre反义词汉语:猛烈,生硬,刚烈,强烈,剧烈3唱酬近义词汉语:唱酬,酬和,唱和,步韵,和,一唱一和4和数近义词汉语:和数,和5次近义词汉语:次,度,回,道,番,趟,遍,巡,和,水,历届俄语:следующий,второй法语:ordre,fois英语:order,second,second-rate西班牙语:mano,turno,vez,vuelta德语:-mal[Zählwort],ZähleinheitswortfürGelegenheiten,ZähleinheitswortfürHandlungen("
"近义词汉语:平,平行俄语近义词汉语:平坦,平缓,坦缓,坦,平,平滑,平正,平整,平展,平易,坦荡,一马平川,平平整整,坦坦荡荡法语近义词汉语:克制,抑制,控制,自制,自持,抑止,压抑,按压,按捺,按,捺,压,平,憋,止,克,克服,相生相克,相依相克俄语","近义词汉语:平,平行俄语:ровный,горизонтальный德语:Schwellwert,malen,saugen,verbinden,binden,flach,glatt,platt,alltags法语:plat,égal,calme,paisible,auniveaude英语:calm,draw,equal,even,flat,peaceful,plane,smooth,suppress,tie2平坦近义词汉语:平坦,平缓,坦缓,坦,平,平滑,平正,平整,平展,平易,坦荡,一马平川,平平整整,坦坦荡荡法语:plat,uni,égal,sansobstacle西班牙语:lisura,llanura,nivelación德语:Flachheit,Schlichtheit,angleichen,flach,glatt英语:evenness,flatness,plainness,smoothness反义词汉语:险峻,险阻,高峻,坎坷,崎岖,陡立,峻峭,凸凹,陡峭3克制近义词汉语:克制,抑制,控制,自制,自持,抑止,压抑,按压,按捺,按,捺,压,平,憋,止,克,克服,相生相克,相依相克俄语:сдержать,побороть,сдержанность,сдержанный葡萄牙语:refreamento,refrear,abstenção,abster法语:dominer,retenir,maîtriser英语:control,forbear,exerciserestraint,restrain西班牙语:cohibición,combatir,conformidad,continencia,reportar,reprimir,retener德语:beherrscht,Beschränkung,Hemmnis,Einhalt,Enthaltung,Hemmung,Zurückhaltung,beherrschen,unterdrücken,zähmen,zügeln,zurückhalten,abstinent,mäßig反义词汉语:放纵查看关于平的反义词>>("
"近义词汉语:芡实,鸡头米","近义词汉语:芡实,鸡头米("
"近义词汉语:主人,主,东家,东道主,东,地主,主人公,东道,主人家,主子,庄家,东道国,主人翁法语近义词汉语:主意,主见,主心骨,主,意见,呼声,呼吁,主张俄语近义词汉语:主张,主持,主,力主,看好,着眼于法语近义词汉语:预示,预兆,预告,主,兆德语近义词汉语:者,手,匠,客,主,子,家,夫,翁,汉,员,分子,鬼,货,棍,徒俄语","近义词汉语:主人,主,东家,东道主,东,地主,主人公,东道,主人家,主子,庄家,东道国,主人翁法语:maître,patron,hôte,hôtesse英语:host,housemaster,master,owner葡萄牙语:dono,anfitrião西班牙语:amo,casero,dueño,señor3主意近义词汉语:主意,主见,主心骨,主,意见,呼声,呼吁,主张俄语:мнение,идея法语:idée,décision英语:idea,decision,definiteview,mind,plan4主张近义词汉语:主张,主持,主,力主,看好,着眼于法语:préconiser,prôner英语:claim,allege,advocate,assert,avouch,gofor,protest,standfor德语:bedeuten,sichbewerbenum,befürworten,eintretenfür,betrachten,sehen,Aufrechterhaltung,Aufschrei,Behauptung,Bekräftigung,behaupten西班牙语:afirmativa,aserción,aserto5预示近义词汉语:预示,预兆,预告,主,兆德语:Vorlauf,deuten,prophezeien法语:présager,annoncer英语:indicate,omen,forerun,foreshow,foretell,prefigure,promise,signify西班牙语:anunciar,augurar,preludiar,presagiar6者近义词汉语:者,手,匠,客,主,子,家,夫,翁,汉,员,分子,鬼,货,棍,徒俄语:тот,кто,тот,который,то,что英语:person,this德语:Nominalsuffix,Person;Ding("
"近义词汉语:消极,被动,消沉,低沉,低落,无所作为,听天由命,得过且过,与世无争,看破红尘,四大皆空,甘居中游,知难而退,做一天和尚撞一天钟,半死不活俄语","近义词汉语:消极,被动,消沉,低沉,低落,无所作为,听天由命,得过且过,与世无争,看破红尘,四大皆空,甘居中游,知难而退,做一天和尚撞一天钟,半死不活俄语:пассивный,инертный法语:négatif,passif德语:abschlägig,destruktiv,passiv反义词汉语:积极查看关于被动的反义词>>("
"近义词汉语:热风,焚风","近义词汉语:热风,焚风反义词汉语:冷风,凉风查看关于热风的反义词>>("
"近义词汉语:电动机,马达,电机","近义词汉语:电动机,马达,电机("
